id,fecha,nombre_empleado,area,actividad_realizada,tipo_incidente,descripcion_incidente,epp_casco,epp_guantes,epp_chaleco,herramientas_estado,altura_trabajo,dias_incapacidad,costo_estimado,foto_incidente
42,2025-04-16,Belen del Escudero,Soporte,Tendido de fibra,Sin incidente,Ronda de verificación,No usa,En buen estado,En buen estado,En buen estado,No,0,0,foto_42.jpg
43,2025-05-23,Claudia Gibert Sevilla,Supervisión,Tendido de fibra,Sin incidente,Ronda de verificación,No usa,En buen estado,En buen estado,En buen estado,No,0,0,foto_43.jpg
44,2025-05-05,Carmelita de Ramis,Soporte,Tendido de fibra,Sin incidente,Reporte rutinario,No usa,En buen estado,En buen estado,En buen estado,No,0,0,foto_44.jpg
45,2025-02-19,Paca Cuenca Morera,Mantenimiento,Verificación de señal,Sin incidente,Inspección preventiva,En buen estado,En buen estado,En buen estado,En buen estado,No,0,0,foto_45.jpg
46,2025-03-18,José María Yáñez Moll,Supervisión,Tendido de fibra,Sin incidente,Inspección preventiva,En buen estado,No usa,Dañado,En buen estado,No,0,0,foto_46.jpg
47,2025-04-19,Lorena Palau Solé,Soporte,Instalación ONT,Atrapamiento,Dedo atrapado en puerta,En buen estado,En buen estado,En buen estado,Dañadas,No,1,952,foto_47.jpg
48,2025-03-07,Encarnación Sureda-Alemany,Instalaciones,Cambio de ONT,Sin incidente,Reporte rutinario,En buen estado,No usa,En buen estado,Dañadas,Sí,0,0,foto_48.jpg
49,2025-06-10,Marciano Bermúdez Campillo,Supervisión,Tendido de fibra,Sin incidente,Ronda de verificación,En buen estado,En buen estado,En buen estado,En buen estado,No,0,0,foto_49.jpg
50,2025-05-11,Salomón Heras Padilla,Soporte,Reparación,Caída,Reporte rutinario,Dañado,No usa,En buen estado,Dañadas,No,4,856,foto_50.jpg
51,2025-05-21,Leonardo Manzano Ángel,Instalaciones,Configuración de equipos,Corte,Contacto con caja sin aislar,En buen estado,Dañado,En buen estado,En buen estado,No,1,813,foto_51.jpg
52,2025-03-11,Sabina Alcántara Alcázar,Supervisión,Tendido de fibra,Corte,Dedo atrapado en puerta,En buen estado,En buen estado,En buen estado,En buen estado,No,2,781,foto_52.jpg
53,2025-02-26,Encarnacion Candelaria Peiró Pujadas,Supervisión,Verificación de señal,Golpe,Dedo atrapado en puerta,En buen estado,En buen estado,En buen estado,Dañadas,No,2,146,foto_53.jpg
54,2025-04-20,Samuel Tello Dalmau,Instalaciones,Inspección,Descarga eléctrica,Atrapado por cable,No usa,En buen estado,No usa,En buen estado,No,1,290,foto_54.jpg
55,2025-05-14,Dafne Asunción Morata Arellano,Supervisión,Instalación ONT,Golpe,Reporte rutinario,En buen estado,En buen estado,Dañado,En buen estado,No,1,1106,foto_55.jpg
56,2025-04-08,Adelaida Redondo Espada,Supervisión,Cambio de ONT,Golpe,Corte con cúter,En buen estado,Dañado,En buen estado,En buen estado,Sí,4,903,foto_56.jpg
57,2025-05-13,Melchor Menendez,Soporte,Cambio de ONT,Exposición a altura,Trabajando en poste sin arnés,En buen estado,En buen estado,En buen estado,En buen estado,Sí,1,909,foto_57.jpg
58,2025-06-13,Augusto Tejero Lerma,Supervisión,Instalación ONT,Corte,Impacto por herramienta,En buen estado,No usa,En buen estado,En buen estado,No,1,395,foto_58.jpg
59,2025-04-29,Valentina Mate Verdugo,Soporte,Reparación,Atrapamiento,Dedo atrapado en puerta,No usa,En buen estado,En buen estado,En buen estado,No,3,690,foto_59.jpg
60,2025-06-14,Vera Almagro Díez,Mantenimiento,Tendido de fibra,Golpe,Corte con fibra,En buen estado,No usa,En buen estado,En buen estado,No,2,387,foto_60.jpg
61,2025-03-03,Loida Roldán Aragonés,Supervisión,Reparación,Golpe,Caída de escalera,No usa,No usa,En buen estado,En buen estado,No,1,1149,foto_61.jpg
62,2025-04-12,Ainoa Tolosa-Coloma,Mantenimiento,Configuración de equipos,Sin incidente,Ronda de verificación,En buen estado,En buen estado,En buen estado,En buen estado,No,0,0,foto_62.jpg
63,2025-05-03,Rosenda Tomé Llopis,Soporte,Reparación,Sin incidente,Sin evento,Dañado,En buen estado,Dañado,En buen estado,No,0,0,foto_63.jpg
64,2025-03-22,Erasmo Peral-Castells,Instalaciones,Cambio de ONT,Sin incidente,Ronda de verificación,No usa,En buen estado,En buen estado,Dañadas,No,0,0,foto_64.jpg
65,2025-06-14,Lourdes Celestina Cañellas Mínguez,Mantenimiento,Reparación,Sin incidente,Sin evento,En buen estado,En buen estado,En buen estado,En buen estado,Sí,0,0,foto_65.jpg
66,2025-06-18,Amaya Borrell Pedrosa,Mantenimiento,Verificación de señal,Sin incidente,Sin evento,No usa,En buen estado,En buen estado,En buen estado,No,0,0,foto_66.jpg
67,2025-05-26,Ariel Cerro Mas,Supervisión,Configuración de equipos,Sin incidente,Ronda de verificación,En buen estado,En buen estado,En buen estado,No inspeccionadas,Sí,0,0,foto_67.jpg
68,2025-03-14,Roque Fortuny Lara,Mantenimiento,Cambio de ONT,Sin incidente,Ronda de verificación,En buen estado,Dañado,En buen estado,Dañadas,Sí,0,0,foto_68.jpg
69,2025-03-17,Julieta Anglada Tejedor,Mantenimiento,Tendido de fibra,Sin incidente,Inspección preventiva,En buen estado,Dañado,En buen estado,En buen estado,No,0,0,foto_69.jpg
70,2025-05-05,Chus Guillen Montes,Instalaciones,Verificación de señal,Sin incidente,Inspección preventiva,Dañado,En buen estado,No usa,En buen estado,Sí,0,0,foto_70.jpg
71,2025-05-24,Sebastián Sancho Baquero,Soporte,Instalación ONT,Sin incidente,Inspección preventiva,En buen estado,Dañado,En buen estado,Dañadas,No,0,0,foto_71.jpg
72,2025-05-31,Horacio Plaza,Instalaciones,Tendido de fibra,Sin incidente,Ronda de verificación,En buen estado,En buen estado,Dañado,En buen estado,Sí,0,0,foto_72.jpg
73,2025-04-17,Aureliano Higueras Vicens,Soporte,Tendido de fibra,Sin incidente,Reporte rutinario,En buen estado,En buen estado,En buen estado,En buen estado,Sí,0,0,foto_73.jpg
74,2025-06-18,Eliana Azcona Sanjuan,Instalaciones,Instalación ONT,Descarga eléctrica,Golpe con herramienta,Dañado,En buen estado,Dañado,En buen estado,No,3,852,foto_74.jpg
75,2025-04-28,Olalla Novoa Guijarro,Soporte,Configuración de equipos,Corte,Contacto con caja sin aislar,En buen estado,En buen estado,En buen estado,En buen estado,No,3,1099,foto_75.jpg
76,2025-06-03,Olegario Urbano Frías Sevilla,Soporte,Cambio de ONT,Caída,Resbalón en techo,En buen estado,En buen estado,En buen estado,En buen estado,Sí,2,147,foto_76.jpg
77,2025-05-09,Máxima Falcón Gabaldón,Supervisión,Reparación,Golpe,Inspección preventiva,En buen estado,No usa,En buen estado,En buen estado,No,2,472,foto_77.jpg
78,2025-02-25,Nidia Camino Martin,Instalaciones,Instalación ONT,Sin incidente,Ronda de verificación,No usa,En buen estado,No usa,En buen estado,No,0,0,foto_78.jpg
79,2025-02-28,Marisela Maura Mena Cerdán,Instalaciones,Tendido de fibra,Caída,Reporte rutinario,Dañado,En buen estado,En buen estado,En buen estado,No,1,970,foto_79.jpg
80,2025-06-11,Desiderio Bertrán Pastor,Supervisión,Verificación de señal,Sin incidente,Reporte rutinario,En buen estado,No usa,En buen estado,En buen estado,No,0,0,foto_80.jpg
81,2025-05-17,Paco Ortiz Moreno,Mantenimiento,Verificación de señal,Sin incidente,Ronda de verificación,En buen estado,En buen estado,No usa,No inspeccionadas,No,0,0,foto_81.jpg
82,2025-03-04,Quirino Sedano Hervia,Instalaciones,Inspección,Caída,Dedo atrapado en puerta,En buen estado,En buen estado,En buen estado,En buen estado,Sí,3,470,foto_82.jpg
83,2025-05-25,Nacho Quintana-Mur,Instalaciones,Inspección,Descarga eléctrica,Impacto por herramienta,Dañado,No usa,En buen estado,Dañadas,No,2,424,foto_83.jpg
84,2025-05-27,Jacinto Casal Calderón,Mantenimiento,Reparación,Golpe,Golpe con herramienta,En buen estado,Dañado,En buen estado,En buen estado,Sí,2,339,foto_84.jpg
85,2025-04-23,Felipe Cabello,Mantenimiento,Inspección,Sin incidente,Reporte rutinario,Dañado,Dañado,En buen estado,En buen estado,No,0,0,foto_85.jpg
86,2025-03-10,Albert Mateu Guerrero,Supervisión,Configuración de equipos,Sin incidente,Sin evento,Dañado,No usa,No usa,En buen estado,Sí,0,0,foto_86.jpg
87,2025-03-05,Prudencia Rueda Llabrés,Soporte,Cambio de ONT,Caída,Dedo atrapado en puerta,En buen estado,En buen estado,Dañado,En buen estado,No,1,904,foto_87.jpg
88,2025-03-21,Irene Cabo Izaguirre,Mantenimiento,Instalación ONT,Sin incidente,Sin evento,En buen estado,No usa,En buen estado,Dañadas,No,0,0,foto_88.jpg
89,2025-04-26,Sofía Mateo Pereira,Instalaciones,Inspección,Caída,Golpe con herramienta,En buen estado,Dañado,En buen estado,Dañadas,No,1,391,foto_89.jpg
90,2025-04-23,Rebeca Adoración Rosado Torres,Mantenimiento,Inspección,Atrapamiento,Corte con fibra,Dañado,En buen estado,En buen estado,En buen estado,No,2,314,foto_90.jpg
91,2025-04-05,Wálter Maestre,Mantenimiento,Cambio de ONT,Sin incidente,Ronda de verificación,No usa,En buen estado,Dañado,En buen estado,No,0,0,foto_91.jpg
92,2025-03-13,Arcelia Villanueva,Soporte,Configuración de equipos,Descarga eléctrica,Dedo atrapado en puerta,En buen estado,Dañado,En buen estado,En buen estado,No,1,122,foto_92.jpg
93,2025-05-01,Soledad Cuenca Llano,Supervisión,Configuración de equipos,Golpe,Contacto accidental,En buen estado,En buen estado,En buen estado,En buen estado,No,2,329,foto_93.jpg
94,2025-05-07,Atilio Sandalio Chamorro Luque,Mantenimiento,Inspección,Descarga eléctrica,Contacto accidental,No usa,Dañado,En buen estado,Dañadas,No,1,201,foto_94.jpg
95,2025-02-22,Clímaco Ruano Solsona,Supervisión,Cambio de ONT,Caída,Contacto accidental,En buen estado,En buen estado,No usa,En buen estado,Sí,1,527,foto_95.jpg
96,2025-06-16,Bernardo Barreda,Soporte,Configuración de equipos,Exposición a altura,Contacto accidental,En buen estado,Dañado,En buen estado,En buen estado,No,1,1031,foto_96.jpg
97,2025-05-19,Ofelia Bertrán Molins,Mantenimiento,Verificación de señal,Caída,Dedo atrapado en puerta,No usa,En buen estado,En buen estado,Dañadas,No,2,74,foto_97.jpg
98,2025-06-02,Marcia Mulet,Instalaciones,Instalación ONT,Sin incidente,Reporte rutinario,En buen estado,En buen estado,En buen estado,En buen estado,Sí,0,0,foto_98.jpg
99,2025-04-02,Lino Javier Ureña Pazos,Supervisión,Reparación,Golpe,Golpe con herramienta,En buen estado,En buen estado,En buen estado,En buen estado,Sí,1,565,foto_99.jpg
100,2025-05-28,Gracia Suarez Reig,Supervisión,Reparación,Sin incidente,Sin evento,En buen estado,En buen estado,En buen estado,En buen estado,No,0,0,foto_100.jpg
101,2025-03-23,Armida del Vilalta,Supervisión,Inspección,Caída,Atrapado por cable,En buen estado,En buen estado,En buen estado,En buen estado,Sí,1,292,foto_101.jpg
102,2025-03-23,Camilo Aguiló Ferreras,Supervisión,Tendido de fibra,Caída,Atrapado por cable,En buen estado,Dañado,No usa,En buen estado,No,3,892,foto_102.jpg
103,2025-03-27,Lorena Sedano Téllez,Instalaciones,Cambio de ONT,Sin incidente,Reporte rutinario,En buen estado,No usa,En buen estado,En buen estado,No,0,0,foto_103.jpg
104,2025-04-30,Cloe Tormo Uribe,Instalaciones,Tendido de fibra,Caída,Trabajando en poste sin arnés,Dañado,No usa,En buen estado,Dañadas,No,1,1133,foto_104.jpg
105,2025-06-07,León Vidal Tolosa,Mantenimiento,Reparación,Sin incidente,Sin evento,En buen estado,Dañado,En buen estado,En buen estado,No,0,0,foto_105.jpg
106,2025-05-29,Andrés Cabanillas Donaire,Soporte,Cambio de ONT,Corte,Caída de escalera,En buen estado,Dañado,En buen estado,En buen estado,Sí,2,1146,foto_106.jpg
107,2025-05-07,Epifanio Riba,Soporte,Verificación de señal,Descarga eléctrica,Resbalón en techo,En buen estado,En buen estado,En buen estado,En buen estado,No,3,81,foto_107.jpg
108,2025-04-01,Rufina Abascal Querol,Instalaciones,Cambio de ONT,Corte,Corte con cúter,En buen estado,En buen estado,Dañado,Dañadas,Sí,1,1092,foto_108.jpg
109,2025-05-27,Pepito Ferreras Santamaría,Soporte,Instalación ONT,Corte,Impacto por herramienta,En buen estado,Dañado,En buen estado,Dañadas,No,3,83,foto_109.jpg
110,2025-04-15,Ismael Escobar Fabregat,Soporte,Tendido de fibra,Sin incidente,Sin evento,Dañado,No usa,En buen estado,En buen estado,No,0,0,foto_110.jpg
111,2025-05-22,Desiderio Jaume Bonilla,Supervisión,Cambio de ONT,Caída,Resbalón en techo,En buen estado,En buen estado,En buen estado,En buen estado,No,1,491,foto_111.jpg
112,2025-05-17,René Carlito Castelló Romero,Instalaciones,Reparación,Sin incidente,Ronda de verificación,En buen estado,En buen estado,En buen estado,En buen estado,Sí,0,0,foto_112.jpg
113,2025-05-18,Maxi Saez Torrens,Soporte,Cambio de ONT,Caída,Corte con cúter,Dañado,Dañado,En buen estado,No inspeccionadas,No,1,289,foto_113.jpg
114,2025-02-22,Clarisa Vallés Alcántara,Mantenimiento,Configuración de equipos,Corte,Trabajando en poste sin arnés,En buen estado,En buen estado,En buen estado,En buen estado,Sí,1,1197,foto_114.jpg
115,2025-03-10,Eufemia Ros Pintor,Soporte,Instalación ONT,Sin incidente,Inspección preventiva,En buen estado,No usa,Dañado,En buen estado,No,0,0,foto_115.jpg
116,2025-05-31,Viviana Doménech Cervera,Soporte,Configuración de equipos,Golpe,Resbalón en terreno mojado,En buen estado,En buen estado,En buen estado,En buen estado,No,3,916,foto_116.jpg
117,2025-05-23,Nicodemo Ortega-Atienza,Mantenimiento,Reparación,Caída,Inspección preventiva,En buen estado,En buen estado,En buen estado,En buen estado,No,2,1110,foto_117.jpg
118,2025-04-16,Marina Lumbreras Miró,Supervisión,Cambio de ONT,Caída,Corte con fibra,En buen estado,En buen estado,Dañado,En buen estado,Sí,1,734,foto_118.jpg
119,2025-04-19,Ana Cañizares Velázquez,Instalaciones,Reparación,Golpe,Contacto accidental,En buen estado,No usa,En buen estado,Dañadas,No,2,784,foto_119.jpg
120,2025-03-05,Hermenegildo Mosquera Río,Instalaciones,Configuración de equipos,Sin incidente,Sin evento,En buen estado,En buen estado,No usa,En buen estado,No,0,0,foto_120.jpg
121,2025-05-28,Maximiano Burgos Maestre,Mantenimiento,Configuración de equipos,Corte,Ronda de verificación,En buen estado,En buen estado,En buen estado,En buen estado,No,2,695,foto_121.jpg
122,2025-03-31,Ricarda del Rios,Mantenimiento,Cambio de ONT,Descarga eléctrica,Corte con fibra,En buen estado,En buen estado,En buen estado,En buen estado,Sí,1,1122,foto_122.jpg
123,2025-05-28,Agustín del Porta,Soporte,Reparación,Sin incidente,Ronda de verificación,En buen estado,En buen estado,En buen estado,En buen estado,No,0,0,foto_123.jpg
124,2025-04-14,Ruben Ciro Aguilar Adadia,Instalaciones,Verificación de señal,Caída,Contacto accidental,Dañado,En buen estado,En buen estado,En buen estado,No,3,158,foto_124.jpg
125,2025-04-19,Poncio Llopis-Aguilera,Soporte,Tendido de fibra,Sin incidente,Inspección preventiva,En buen estado,En buen estado,En buen estado,Dañadas,Sí,0,0,foto_125.jpg
126,2025-05-27,Eutimio de Espada,Mantenimiento,Cambio de ONT,Caída,Ronda de verificación,En buen estado,No usa,En buen estado,Dañadas,No,2,757,foto_126.jpg
127,2025-06-13,Lupe Galiano Larrea,Soporte,Configuración de equipos,Sin incidente,Reporte rutinario,En buen estado,En buen estado,No usa,En buen estado,No,0,0,foto_127.jpg
128,2025-05-26,Herminio Valdés-Fuertes,Mantenimiento,Configuración de equipos,Sin incidente,Ronda de verificación,En buen estado,En buen estado,En buen estado,En buen estado,No,0,0,foto_128.jpg
129,2025-03-29,Pablo Sosimo Jara Alcolea,Soporte,Verificación de señal,Sin incidente,Sin evento,En buen estado,Dañado,No usa,No inspeccionadas,No,0,0,foto_129.jpg
130,2025-03-23,Imelda Prat Cañas,Mantenimiento,Instalación ONT,Sin incidente,Reporte rutinario,Dañado,Dañado,En buen estado,En buen estado,No,0,0,foto_130.jpg
131,2025-05-18,Feliciana Salvà Ponce,Mantenimiento,Inspección,Golpe,Corte con fibra,En buen estado,No usa,En buen estado,En buen estado,No,1,533,foto_131.jpg
132,2025-04-28,Porfirio Barragán Lucena,Instalaciones,Configuración de equipos,Sin incidente,Inspección preventiva,En buen estado,En buen estado,En buen estado,En buen estado,No,0,0,foto_132.jpg
133,2025-04-25,Clara Royo Briones,Soporte,Cambio de ONT,Corte,Corte con cúter,En buen estado,En buen estado,En buen estado,En buen estado,No,1,214,foto_133.jpg
134,2025-03-27,María José Millán Sarmiento,Supervisión,Configuración de equipos,Exposición a altura,Corte con cúter,En buen estado,En buen estado,No usa,En buen estado,Sí,2,912,foto_134.jpg
135,2025-05-31,Paola Priscila Boix Donaire,Instalaciones,Inspección,Sin incidente,Reporte rutinario,En buen estado,En buen estado,En buen estado,En buen estado,No,0,0,foto_135.jpg
136,2025-05-25,Jacinta Caballero Marqués,Soporte,Verificación de señal,Golpe,Inspección preventiva,En buen estado,En buen estado,En buen estado,No inspeccionadas,No,3,813,foto_136.jpg
137,2025-02-27,Natanael Cuéllar-Narváez,Soporte,Verificación de señal,Sin incidente,Ronda de verificación,En buen estado,En buen estado,En buen estado,En buen estado,No,0,0,foto_137.jpg
138,2025-05-27,Wilfredo Aguiló Briones,Instalaciones,Tendido de fibra,Sin incidente,Ronda de verificación,En buen estado,Dañado,En buen estado,En buen estado,Sí,0,0,foto_138.jpg
139,2025-05-25,Íñigo Murcia Duque,Mantenimiento,Reparación,Golpe,Deslizamiento en escalera,No usa,Dañado,En buen estado,En buen estado,Sí,4,260,foto_139.jpg
140,2025-05-01,Marita Ester Gálvez Alcalá,Supervisión,Tendido de fibra,Exposición a altura,Caída de escalera,Dañado,Dañado,En buen estado,En buen estado,No,1,1091,foto_140.jpg
141,2025-02-21,Gala de Villaverde,Supervisión,Reparación,Sin incidente,Ronda de verificación,En buen estado,En buen estado,En buen estado,Dañadas,No,0,0,foto_141.jpg
142,2025-05-30,Judith Palacio Vizcaíno,Instalaciones,Configuración de equipos,Sin incidente,Ronda de verificación,En buen estado,No usa,Dañado,En buen estado,Sí,0,0,foto_142.jpg
143,2025-05-14,Ruperta Casals Armas,Soporte,Configuración de equipos,Sin incidente,Sin evento,No usa,No usa,En buen estado,En buen estado,Sí,0,0,foto_143.jpg
144,2025-03-28,María Cristina Lledó Pozo,Supervisión,Inspección,Sin incidente,Inspección preventiva,No usa,Dañado,En buen estado,Dañadas,Sí,0,0,foto_144.jpg
145,2025-04-17,Yolanda del Jódar,Mantenimiento,Verificación de señal,Sin incidente,Ronda de verificación,En buen estado,En buen estado,No usa,En buen estado,No,0,0,foto_145.jpg
146,2025-03-23,Haydée Amor Cabrera,Mantenimiento,Tendido de fibra,Caída,Corte con cúter,En buen estado,En buen estado,En buen estado,Dañadas,No,1,553,foto_146.jpg
147,2025-06-06,Eligio Mancebo-Vendrell,Mantenimiento,Cambio de ONT,Sin incidente,Reporte rutinario,En buen estado,En buen estado,En buen estado,En buen estado,Sí,0,0,foto_147.jpg
148,2025-04-01,Javier Cobo Quevedo,Supervisión,Inspección,Sin incidente,Inspección preventiva,En buen estado,En buen estado,En buen estado,Dañadas,No,0,0,foto_148.jpg
149,2025-04-22,Jenaro Baquero Corbacho,Supervisión,Inspección,Sin incidente,Reporte rutinario,En buen estado,En buen estado,En buen estado,En buen estado,Sí,0,0,foto_149.jpg
150,2025-06-09,Heriberto Llopis Olivera,Soporte,Cambio de ONT,Sin incidente,Sin evento,En buen estado,No usa,En buen estado,En buen estado,Sí,0,0,foto_150.jpg
151,2025-04-09,Heraclio Tudela Canales,Mantenimiento,Verificación de señal,Sin incidente,Reporte rutinario,En buen estado,Dañado,En buen estado,En buen estado,Sí,0,0,foto_151.jpg
152,2025-05-10,Nando Marcos,Soporte,Tendido de fibra,Sin incidente,Inspección preventiva,En buen estado,En buen estado,En buen estado,En buen estado,Sí,0,0,foto_152.jpg
153,2025-05-22,Octavio Catalá,Supervisión,Inspección,Sin incidente,Ronda de verificación,En buen estado,Dañado,En buen estado,En buen estado,No,0,0,foto_153.jpg
